scope,variable,H5_N,H5_missing,H5_mean,H5_median,H5_std,H5_q25,H5_q75,H5_IQR,H7_N,H7_missing,H7_mean,H7_median,H7_std,H7_q25,H7_q75,H7_IQR,mean_difference,median_difference,IQR_difference,standardized_mean_difference,KS
S1_eligible_observations,er_4,44972,0,0.48775687769685283,0.4520547945206563,0.3109735461285583,0.21739130434793802,0.7428571428573332,0.5254658385093951,8462,0,0.49735517810094293,0.46605202227740994,0.320324461700792,0.21684782608692973,0.7721286299330932,0.5552808038461634,0.009598300404090099,0.01399722775675366,0.029814965336768307,0.030404808879251767,0.02622430074561166
S1_eligible_observations,er_16,44972,0,0.23711705838531594,0.20392638627934692,0.17232750970803118,0.09720308408845937,0.345535459636629,0.24833237554816964,8462,0,0.24154658336071788,0.2102169170440649,0.17673778662619485,0.09581040348456253,0.35646500383485646,0.2606546003502939,0.004429524975401944,0.006290530764717972,0.012322224802124276,0.025377323489684276,0.0195708002498175
S1_eligible_observations,rv_16,44972,0,0.00167894263883106,0.0014942312986279684,0.0009218322019831789,0.0009871627990738875,0.0021561474923584493,0.0011689846932845618,8462,0,0.001665925355854294,0.0014821800958695853,0.0008525060387114658,0.0010309908610686366,0.0021369010272903216,0.001105910166221685,-1.3017282976766084e-05,-1.2051202758383119e-05,-6.307452706287684e-05,-0.014661644588234792,0.04181524077809029
S1_eligible_observations,atr_change_1,44972,0,-0.004277828562785705,-0.011142431099381012,0.03393078919602412,-0.02858032663633947,0.012532192020289101,0.04111251865662857,8462,0,-0.003637421366154982,-0.00958712422980107,0.032612847485505365,-0.02707004225364648,0.013811444765413183,0.040881487019059665,0.0006404071966307234,0.0015553068695799421,-0.000231031637568907,0.019243962635650595,0.02724818949296387
S1_eligible_observations,atr_change_8,44972,0,0.002066209913081086,-0.034431185277923715,0.20368672043883687,-0.15495458678435495,0.11624951289905583,0.27120409968341075,8462,0,1.0319657912386943e-05,-0.024370887954958287,0.189671311254141,-0.14487206356331392,0.1086478829888547,0.2535199465521686,-0.002055890255168699,0.010060297322965428,-0.017684153131242164,-0.010446394104297617,0.03492287214904671
S1_eligible_observations,slope_atr_4,44972,0,0.11300138536282045,0.08814166970160597,0.3215734996282183,-0.09906791183050005,0.30768400849049066,0.4067519203209907,8462,0,0.1153154335417212,0.09562389970584254,0.32539158957842296,-0.10070653109518335,0.32060437075207865,0.421310901847262,0.0023140481789007544,0.007482230004236562,0.014558981526271275,0.007153424262080962,0.013937015627339622
S1_eligible_observations,slope_atr_16,44972,0,0.10489271506601171,0.09552165452625976,0.12219473413092698,0.020358318089607863,0.17918324748562078,0.15882492939601292,8462,0,0.10875190993209892,0.10103101423688923,0.12224991178849101,0.02190717119918543,0.18550083971638326,0.16359366851719784,0.003859194866087212,0.005509359710629477,0.004768739121184917,0.03157520389333163,0.02076417390243379
S1_eligible_observations,range_pos_16,44972,0,0.7291641776243454,0.7432228300807668,0.23401982269405167,0.5791666666666778,0.8861877568447342,0.30702109017805634,8462,0,0.7364633209994985,0.7511900733220079,0.24040818830017785,0.5798854694076719,0.9024390243902851,0.3225535549826132,0.007299143375153139,0.007967243241241095,0.015532464804556834,0.030767499245670602,0.029059542666039384
S1_eligible_observations,h1_er_8,44972,0,0.3579713671852083,0.3220338983050954,0.24331454075686124,0.15451895043730232,0.5305164319249267,0.37599748148762435,8462,0,0.3786723788875992,0.34340784671534486,0.2585094218742065,0.15414264494851637,0.560253699788604,0.4061110548400876,0.020701011702390915,0.021373948410249477,0.03011357335246323,0.08246528680830052,0.04181314908556355
S1_eligible_observations,h1_atr_change_4,44972,0,0.02020693219115266,0.0023499919819064408,0.1336697147107524,-0.09137631740244212,0.10561301749674401,0.19698933489918613,8462,0,0.010921931604632795,-0.009918225052196916,0.12362879272016224,-0.08453682354962067,0.08649345442117196,0.17103027797079262,-0.009285000586519866,-0.012268217034103357,-0.02595905692839351,-0.07211809085037417,0.05597583626340208
S1_eligible_observations,h1_slope_atr_8,44972,0,0.1496053150856561,0.12831770869766324,0.20505462034471333,0.007627382041284447,0.2662482782689398,0.2586208962276554,8462,0,0.1506591937480292,0.14203508051699199,0.19998036380292883,0.0069130172793135615,0.27725982013849754,0.270346802859184,0.0010538786623730811,0.01371737181932875,0.011725906631528615,0.005203481232575712,0.03130804381067859
S1_eligible_observations,h3_er_8,44972,0,0.39200908587865974,0.3597164796219794,0.25664460468010464,0.1752212389380172,0.5813953488372149,0.40617410989919767,8462,0,0.39093201877240036,0.35451505016721474,0.2530678485665447,0.1765546819156527,0.5842055185537605,0.40765083663810775,-0.0010770671062593773,-0.00520142945476465,0.0014767267389100835,-0.004226071316751439,0.022041588397249012
