entry_time,entry_price,entry_deal,entry_order,exit_time,exit_price,exit_deal,profit,deal_profit,swap,commission,outcome,required_state_timestamp,state_timestamp,state_at_entry,p_S0,p_S1,p_S2,max_posterior,posterior_entropy,posterior_margin,state_age,bars_since_transition,continuity_segment_id,state_match_status
2016-01-14 15:35:29+00:00,1.08673,40,65,2016-01-15 01:26:05+00:00,1.08725,41,0.4,0.48,-0.08,0.0,WIN,2016-01-14 15:30:00+00:00,2016-01-14 15:30:00+00:00,S2,0.0020341392906814016,1.136857747361149e-05,0.9979544921318433,0.9979544921318433,0.014779791237949882,0.9959203528411619,2.0,1.0,1.0,MATCHED
2016-01-15 07:39:40+00:00,1.0861,42,67,2016-01-15 07:41:28+00:00,1.0867,43,0.55,0.55,0.0,0.0,WIN,2016-01-15 07:30:00+00:00,2016-01-15 07:30:00+00:00,S1,1.9188583216068664e-06,0.9369592709621904,0.06303881017948712,0.9369592709621904,0.23527536631260415,0.8739204607827034,27.0,26.0,1.0,MATCHED
2016-01-15 17:56:01+00:00,1.09504,44,72,2016-01-15 18:00:29+00:00,1.09555,45,0.47,0.47,0.0,0.0,WIN,2016-01-15 17:45:00+00:00,2016-01-15 17:45:00+00:00,S1,0.029053016975352598,0.9709469792833993,3.7412487540329556e-09,0.9709469792833993,0.13143486977206742,0.9418939623080468,1.0,0.0,1.0,MATCHED
2016-01-18 05:16:02+00:00,1.08935,46,76,2016-01-18 06:00:01+00:00,1.08985,47,0.46,0.46,0.0,0.0,WIN,2016-01-18 05:15:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
2016-01-18 08:00:07+00:00,1.0889,48,78,2016-01-18 08:55:14+00:00,1.08942,49,0.48,0.48,0.0,0.0,WIN,2016-01-18 08:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
2016-01-18 12:32:40+00:00,1.08874,50,80,2016-01-18 12:45:54+00:00,1.08925,51,0.47,0.47,0.0,0.0,WIN,2016-01-18 12:30:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
2016-01-18 15:52:51+00:00,1.08866,52,82,2016-01-18 17:52:07+00:00,1.08918,53,0.48,0.48,0.0,0.0,WIN,2016-01-18 15:45:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
2016-01-18 23:12:09+00:00,1.08894,54,84,2016-01-18 23:38:30+00:00,1.08948,55,0.5,0.5,0.0,0.0,WIN,2016-01-18 23:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
2016-01-19 02:03:07+00:00,1.0883,56,86,2016-01-19 02:12:30+00:00,1.0888,57,0.46,0.46,0.0,0.0,WIN,2016-01-19 02:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
2016-01-19 05:02:47+00:00,1.08865,58,88,2016-01-19 14:35:02+00:00,1.08915,59,0.46,0.46,0.0,0.0,WIN,2016-01-19 05:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
2016-01-20 09:31:58+00:00,1.09259,60,95,2016-01-20 09:33:19+00:00,1.0931,61,0.47,0.47,0.0,0.0,WIN,2016-01-20 09:30:00+00:00,2016-01-20 09:30:00+00:00,S0,0.9923211359014176,0.00011417261931514109,0.007564691479268378,0.9923211359014176,0.04563369007082621,0.9847564444221492,1.0,0.0,2.0,MATCHED
2016-01-20 11:25:44+00:00,1.09124,62,97,2016-01-20 12:55:31+00:00,1.09176,63,0.48,0.48,0.0,0.0,WIN,2016-01-20 11:15:00+00:00,2016-01-20 11:15:00+00:00,S2,0.00021858296405544725,3.1506952053364654e-08,0.9997813855289936,0.9997813855289936,0.0020614274086248694,0.9995628025649382,6.0,5.0,2.0,MATCHED
2016-01-20 14:30:35+00:00,1.09091,64,99,2016-01-20 15:00:59+00:00,1.09143,65,0.48,0.48,0.0,0.0,WIN,2016-01-20 14:30:00+00:00,2016-01-20 14:30:00+00:00,S2,6.48510076144227e-05,0.005471913945761102,0.9944632350466248,0.9944632350466248,0.034645215889428,0.9889913211008637,1.0,0.0,2.0,MATCHED
2016-01-20 19:20:49+00:00,1.08957,66,101,2016-01-20 19:26:53+00:00,1.09013,67,0.51,0.51,0.0,0.0,WIN,2016-01-20 19:15:00+00:00,2016-01-20 19:15:00+00:00,S2,4.9933204187829694e-05,0.1331125383692146,0.8668375284265972,0.8668375284265972,0.3927983503144254,0.7337249900573826,4.0,3.0,2.0,MATCHED
2016-01-20 20:16:20+00:00,1.08796,68,103,2016-01-20 20:23:22+00:00,1.08848,69,0.48,0.48,0.0,0.0,WIN,2016-01-20 20:15:00+00:00,2016-01-20 20:15:00+00:00,S2,3.927650012760109e-05,4.637733148874722e-05,0.9999143461683838,0.9999143461683838,0.0009468911747393506,0.9998679688368951,8.0,7.0,2.0,MATCHED
2016-01-20 23:00:47+00:00,1.08897,70,105,2016-01-20 23:18:51+00:00,1.08947,71,0.46,0.46,0.0,0.0,WIN,2016-01-20 23:00:00+00:00,2016-01-20 23:00:00+00:00,S2,2.3972023557678096e-05,0.02737080444243719,0.9726052235340051,0.9726052235340051,0.12575886812728243,0.9452344190915679,19.0,18.0,2.0,MATCHED
2016-01-21 13:33:21+00:00,1.08733,72,110,2016-01-21 13:33:34+00:00,1.08347,73,-3.56,-3.56,0.0,0.0,LOSS,2016-01-21 13:30:00+00:00,2016-01-21 13:30:00+00:00,S2,9.177027987716895e-05,0.09787021947404499,0.9020380102460787,0.9020380102460787,0.3213134371669848,0.8041677907720337,4.0,3.0,2.0,MATCHED
2016-01-21 23:39:02+00:00,1.08639,74,115,2016-01-22 12:13:33+00:00,1.08237,75,-3.79,-3.71,-0.08,0.0,LOSS,2016-01-21 23:30:00+00:00,2016-01-21 23:30:00+00:00,S2,0.0005725223035768359,0.05914987404040044,0.9402776036560239,0.9402776036560239,0.2294335176110009,0.8811277296156235,1.0,0.0,2.0,MATCHED
2016-01-22 17:00:49+00:00,1.08114,76,118,2016-01-22 17:05:12+00:00,1.08172,77,0.54,0.54,0.0,0.0,WIN,2016-01-22 17:00:00+00:00,2016-01-22 17:00:00+00:00,S2,4.399232155205123e-05,0.07739494141371553,0.922561066264733,0.922561066264733,0.27284210359969285,0.8451661248510175,3.0,2.0,2.0,MATCHED
2016-01-25 12:17:03+00:00,1.08137,78,124,2016-01-25 13:00:45+00:00,1.08187,79,0.46,0.46,0.0,0.0,WIN,2016-01-25 12:15:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
