era,state,N,wins,losses,WR,expectancy_eur,net_profit_eur,mean_win,median_win,mean_loss,median_loss,payoff_ratio,matched_trade_share,gross_mean_eur,commission_mean_eur,swap_mean_eur
H5,S0,114,89,25,0.7807017543859649,-0.5129824561403509,-58.48,0.3874157303370787,0.38,-3.7184000000000004,-3.71,0.1041888259297221,0.047818791946308725,-0.4285964912280702,-0.07999999999999999,-0.0043859649122807015
H7,S0,15,9,6,0.6,-0.23000000000000004,-3.45,1.661111111111111,1.26,-3.0666666666666664,-2.98,0.5416666666666666,0.0641025641025641,-0.21600000000000005,0.0,-0.014
H5,S1,794,785,9,0.9886649874055415,0.32729219143576826,259.87,0.3721019108280255,0.37,-3.5811111111111114,-3.6,0.10390683206491559,0.33305369127516776,0.41379093198992445,-0.07999999999999999,-0.006498740554156172
H7,S1,63,50,13,0.7936507936507936,-0.09841269841269837,-6.2,0.8729999999999998,0.685,-3.8346153846153848,-3.7,0.22766298896690063,0.2692307692307692,-0.07809523809523805,0.0,-0.02031746031746032
H5,S2,1476,1222,254,0.8279132791327913,-0.33165989159891596,-489.53,0.36484451718494276,0.37,-3.682559055118111,-3.65,0.09907363649141564,0.6191275167785235,-0.23591463414634148,-0.07999999999999999,-0.01574525745257453
H7,S2,156,119,37,0.7628205128205128,-0.19974358974358977,-31.16,0.9550420168067226,0.8,-3.913783783783783,-3.61,0.24402012721392682,0.6666666666666666,-0.17038461538461538,0.0,-0.02935897435897436
