period_type,period,state,N,wins,losses,win_rate,net_profit_eur,expectancy_eur_per_trade,yearly_matched_trade_share_percent,s1_total_trade_share_percent,s1_total_net_profit_share_percent
MONTH,2019-07,S1,6,6,0,1.0,2.21,0.36833333333333335,,,
MONTH,2019-08,S1,7,7,0,1.0,2.64,0.37714285714285717,,,
MONTH,2019-09,S1,6,6,0,1.0,2.29,0.38166666666666665,,,
MONTH,2019-10,S1,8,8,0,1.0,2.79,0.34875,,,
MONTH,2019-11,S1,3,3,0,1.0,1.04,0.3466666666666667,,,
MONTH,2019-12,S1,6,5,1,0.8333333333333334,-2.03,-0.3383333333333333,,,
MONTH,2020-01,S1,5,5,0,1.0,1.92,0.384,,,
MONTH,2020-02,S1,9,9,0,1.0,3.35,0.37222222222222223,,,
MONTH,2020-03,S1,12,12,0,1.0,4.66,0.3883333333333333,,,
MONTH,2020-04,S1,13,13,0,1.0,5.03,0.3869230769230769,,,
MONTH,2020-05,S1,8,8,0,1.0,3.09,0.38625,,,
MONTH,2020-06,S1,13,13,0,1.0,4.88,0.37538461538461537,,,
MONTH,2020-07,S1,18,18,0,1.0,6.58,0.3655555555555556,,,
MONTH,2020-08,S1,10,10,0,1.0,3.6,0.36,,,
MONTH,2020-09,S1,16,16,0,1.0,5.62,0.35125,,,
MONTH,2020-10,S1,5,4,1,0.8,-2.29,-0.458,,,
MONTH,2020-11,S1,5,5,0,1.0,1.71,0.342,,,
MONTH,2020-12,S1,8,8,0,1.0,3.64,0.455,,,
MONTH,2021-01,S1,13,13,0,1.0,4.34,0.33384615384615385,,,
MONTH,2021-02,S1,8,8,0,1.0,2.71,0.33875,,,
MONTH,2021-03,S1,14,14,0,1.0,4.88,0.3485714285714286,,,
MONTH,2021-04,S1,7,7,0,1.0,2.41,0.3442857142857143,,,
MONTH,2021-05,S1,6,6,0,1.0,2.03,0.3383333333333333,,,
MONTH,2021-06,S1,8,8,0,1.0,2.73,0.34125,,,
MONTH,2021-07,S1,15,15,0,1.0,5.31,0.354,,,
MONTH,2021-08,S1,5,5,0,1.0,1.75,0.35,,,
MONTH,2021-09,S1,5,5,0,1.0,1.74,0.348,,,
MONTH,2021-10,S1,8,8,0,1.0,2.83,0.35375,,,
MONTH,2021-11,S1,6,6,0,1.0,2.27,0.37833333333333335,,,
MONTH,2021-12,S1,12,11,1,0.9166666666666666,0.08,0.006666666666666667,,,
MONTH,2022-01,S1,7,7,0,1.0,2.59,0.37,,,
MONTH,2022-02,S1,7,7,0,1.0,2.5,0.35714285714285715,,,
MONTH,2022-03,S1,10,10,0,1.0,3.54,0.354,,,
MONTH,2022-04,S1,3,3,0,1.0,1.19,0.39666666666666667,,,
MONTH,2022-05,S1,12,12,0,1.0,4.82,0.40166666666666667,,,
MONTH,2022-06,S1,13,13,0,1.0,5.22,0.4015384615384615,,,
MONTH,2022-07,S1,6,6,0,1.0,2.56,0.4266666666666667,,,
MONTH,2022-08,S1,9,9,0,1.0,3.87,0.43,,,
MONTH,2022-09,S1,3,3,0,1.0,1.31,0.43666666666666665,,,
MONTH,2022-10,S1,10,10,0,1.0,4.36,0.436,,,
MONTH,2022-11,S1,4,4,0,1.0,1.66,0.415,,,
MONTH,2022-12,S1,20,20,0,1.0,7.88,0.394,,,
